,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1257,Renovision Autom...,3.8,(351 Reviews),Private,New Delhi + 51 more,16 years old,1k-5k Employees (India)
1258,H.G. Infra Engin...,4.4,(351 Reviews),Public,"Jaipur,Rajasthan + 42 more",19 years old,1k-5k Employees (India)
1259,Rentokil Pest Co...,4.0,(351 Reviews),Private,"Mumbai,Maharashtra + 74 more",68 years old,501-1k Employees (India)
1260,Ag Industries,4.1,(350 Reviews),Private,"Delhi/NCR,New Delhi + 15 more",31 years old,1k-5k Employees (Global)
1261,McDermott Intern...,4.2,(350 Reviews),"Houston,Texas + 20 more",99 years old,1k-5k Employees (India),
1262,Transport Corpor...,3.9,(350 Reviews),Public,Gurgaon + 60 more,64 years old,5k-10k Employees (India)
1263,MAHLE Behr India,4.2,(349 Reviews),JV,Pune + 7 more,25 years old,1k-5k Employees (India)
1264,H&M,4.0,(349 Reviews),Private,"Stockholm,Stockholm + 28 more",75 years old,1k-5k Employees (India)
1265,Morningstar,4.3,(349 Reviews),Private,"Chicago,Illinois + 9 more",18 years old,1k-5k Employees (India)
1266,TCNS Clothing Co...,4.3,(392 Reviews),Public,"Delhi/NCR,Delhi + 60 more",21 years old,501-1k Employees (India)
1267,Kidzee,4.4,(348 Reviews),Private,"Ernakulam,Kerala + 90 more",19 years old,1k-5k Employees (India)
1268,Urban Company,3.5,(348 Reviews),Private,"Gurgaon,Haryana + 31 more",7 years old,1k-5k Employees (India)
1269,S&P Global,4.3,(856 Reviews),Public,"New York City,New York + 10 more",105 years old,10k-50k Employees (India)
1270,Collins Aerospa...,3.9,(462 Reviews),Private,"Charlotte,North Carolina + 3 more",4 years old,1k-5k Employees (India)
1271,NeoSoft Technolo...,3.5,(347 Reviews),Private,"Mumbai,Maharashtra + 9 more",26 years old,1k-5k Employees (India)
1272,Kyndryl,4.0,(347 Reviews),Bengaluru/Bangalore + 14 more,,,
1273,ChannelPlay,4.1,(347 Reviews),Private,"Gurgaon/Gurugram,Haryana + 43 more",16 years old,1k-5k Employees (India)
1274,Ameriprise Finan...,4.0,(347 Reviews),Private,"Minneapolis,Minnesota + 6 more",128 years old,1k-5k Employees (India)
1275,GE Healthcare,4.3,(346 Reviews),Private,Chicago + 22 more,28 years old,1k-5k Employees (India)
1276,Cloudnine Hospit...,4.1,(346 Reviews),"Bangalore,Karnataka + 17 more",15 years old,1k-5k Employees (India),
1277,NRB Bearings,4.3,(346 Reviews),Public,"Mumbai,Maharashtra + 17 more",57 years old,1k-5k Employees (India)
1278,Bahwan Engineeri...,4.1,(346 Reviews),Private,Ruwi + 18 more,45 years old,201-500 Employees (India)
1279,Ess Kay Fincorp,4.1,(346 Reviews),Public,Jaipur + 99 more,28 years old,5k-10k Employees (India)
1280,Cairn Energy,4.2,(345 Reviews),Private,"Edinburgh,Edinburgh + 18 more",41 years old,1k-5k Employees (India)
1281,Tata Hitachi Con...,4.2,(345 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 48 more",23 years old,1k-5k Employees (India)
1282,Paras Dairy,3.7,(345 Reviews),"Delhi/NCR,Delhi + 41 more",35 years old,501-1k Employees (India),
1283,My Home Industri...,4.4,(345 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 36 more",25 years old,201-500 Employees (India)
1284,Bharti AXA Gener...,4.1,(345 Reviews),Mumbai + 73 more,14 years old,1k-5k Employees (India),
1285,Bioclinica,3.4,(345 Reviews),Private,"Princeton,New Jersey + 3 more",14 years old,1k-5k Employees (India)
1286,Sulekha.com,3.9,(344 Reviews),Private,"Chennai,Tamil Nadu + 19 more",15 years old,501-1k Employees (India)
1287,Ministry of Defe...,4.6,(344 Reviews),Private,"Delhi/NCR,Delhi + 52 more",75 years old,10k-50k Employees (India)
1288,Samsung Research,3.3,(344 Reviews),Private,Seocho-gu + 9 more,53 years old,1k-5k Employees (India)
1289,Lionbridge Techn...,4.0,(344 Reviews),Private,"Beijing,Beijing Shi + 11 more",26 years old,1k-5k Employees (India)
1290,Shivam Autotech,3.9,(343 Reviews),Public,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,501-1k Employees (India)
1291,Shilpa Medicare,3.6,(343 Reviews),Public,"Raichur,Karnataka + 16 more",35 years old,1k-5k Employees (India)
1292,Kotak Mahindra P...,4.1,(343 Reviews),"Mumbai,Maharashtra + 63 more",26 years old,10k-50k Employees (India),
1293,Qatar Airways,4.3,(343 Reviews),Private,Doha + 14 more,29 years old,1k-5k Employees (India)
1294,Westin,4.0,(342 Reviews),Private,"Kolkata,West Bengal + 26 more",92 years old,5k-10k Employees (India)
1295,Affinity Express,3.2,(342 Reviews),Private,"Noida,Uttar Pradesh + 4 more",22 years old,1k-5k Employees (India)
1296,The Times of Ind...,3.9,(341 Reviews),Private,New Delhi + 46 more,184 years old,10k-50k Employees (Global)
1297,Mahendra’s Insti...,3.4,(341 Reviews),Private,"Lucknow,Uttar Pradesh + 82 more",14 years old,201-500 Employees (India)
1298,Piramal Capital ...,4.2,(341 Reviews),Mumbai + 94 more,4 years old,5k-10k Employees (India),
1299,Coal India,4.1,(825 Reviews),Public,"Kolkata,West Bengal + 39 more",47 years old,1 Lakh+ Employees (India)
1300,Svatantra Microf...,4.4,(340 Reviews),Private,"Mumbai,Maharashtra + 133 more",10 years old,1k-5k Employees (India)
1301,Centre for Devel...,3.7,(340 Reviews),Private,"Pune,Maharashtra + 19 more",34 years old,1k-5k Employees (India)
1302,Nagarjuna Fertil...,4.0,(340 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 58 more",37 years old,1k-5k Employees (India)
1303,India Shelter Fi...,3.9,(339 Reviews),Private,"Gurgaon,Haryana + 88 more",12 years old,501-1k Employees (India)
1304,Orient Technolog...,3.6,(339 Reviews),Private,"Chiyoda-ku,Tokyo-to + 27 more",30 years old,1k-5k Employees (India)
1305,Reliance Infrast...,3.9,(339 Reviews),Public,"Mumbai,Maharashtra + 40 more",93 years old,1k-5k Employees (India)
1306,Medreich,3.8,(339 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",49 years old,1k-5k Employees (India)
1307,Rohan Builders,4.2,(339 Reviews),Private,"Pune,Maharashtra + 27 more",29 years old,5k-10k Employees (India)
1308,MattsenKumar,3.7,(339 Reviews),Private,"Woodburn,Oregon + 6 more",12 years old,501-1k Employees (India)
1309,Tata Capital Hou...,4.2,(339 Reviews),Public,Mumbai + 84 more,14 years old,1k-5k Employees (India)
1310,Lanco Infratech,4.4,(612 Reviews),Public,"Gurgaon/Gurugram,Haryana + 28 more",36 years old,1k-5k Employees (India)
1311,CNH Industrial,4.2,(727 Reviews),Public,London + 41 more,9 years old,1k-5k Employees (India)
1312,Offshore Infrast...,4.0,(337 Reviews),Private,"Mumbai,Maharashtra + 26 more",27 years old,501-1k Employees (India)
1313,Labcorp Drug Dev...,4.2,(337 Reviews),"Wilmington,North Carolina + 5 more",40 years old,5k-10k Employees (India),
1314,IBS Software Ser...,3.8,(337 Reviews),Private,"Thiruvananthapuram,Kerala + 9 more",25 years old,1k-5k Employees (India)
1315,Blackberrys,3.9,(336 Reviews),Private,"Gurgaon/Gurugram,Haryana + 61 more",31 years old,501-1k Employees (India)
1316,3M,4.2,(336 Reviews),Public,"Saint Paul,Minnesota + 37 more",35 years old,1k-5k Employees (India)
1317,Surya Roshni,4.1,(336 Reviews),Public,"Delhi/NCR,Delhi + 46 more",49 years old,51-200 Employees (India)
1318,Mindarika,3.8,(336 Reviews),JV,"Gurgaon/Gurugram,Haryana + 13 more",30 years old,1k-5k Employees (India)
1319,Reliance AJIO,3.9,(336 Reviews),Bengaluru + 99 more,6 years old,1k-5k Employees (India),
1320,Netscribes,3.4,(335 Reviews),Private,"New York,New York + 3 more",22 years old,1k-5k Employees (India)
1321,Nissin Brake,4.0,(335 Reviews),Private,Nagano + 12 more,15 years old,201-500 Employees (India)
1322,NoBrokerHOOD,4.2,(335 Reviews),Pune + 17 more,501-1k Employees (India),,
1323,Innodata Isogen,3.9,(334 Reviews),Private,"New Jersey,New Jersey + 7 more",25 years old,1k-5k Employees (India)
1324,Precision Infoma...,4.0,(334 Reviews),Private,"Chennai,Tamil Nadu + 46 more",26 years old,1k-5k Employees (India)
1325,Jubilant Generic...,4.3,(334 Reviews),Private,"Noida,Uttar Pradesh + 13 more",9 years old,5k-10k Employees (India)
1326,Keihin Fie,4.3,(333 Reviews),Private,"Pune,Maharashtra + 13 more",66 years old,1k-5k Employees (India)
1327,MPS,3.7,(333 Reviews),Public,"Noida,Uttar Pradesh + 15 more",52 years old,501-1k Employees (India)
1328,MMC,4.0,(333 Reviews),Private,New York + 16 more,151 years old,5k-10k Employees (India)
1329,Riya Travel,3.8,(333 Reviews),Private,"Mumbai,Maharashtra + 31 more",42 years old,1k-5k Employees (India)
1330,Brillio,3.6,(333 Reviews),Private,"Santa Clara,California + 6 more",8 years old,1k-5k Employees (India)
1331,HLL Lifecare,3.9,(501 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 70 more",56 years old,1k-5k Employees (India)
1332,Vadilal Industri...,4.2,(335 Reviews),Public,"Ahmedabad,Gujrat + 54 more",115 years old,501-1k Employees (India)
1333,Ashirvad Pipes,4.3,(332 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 48 more",47 years old,501-1k Employees (India)
1334,Thriveni Earthmo...,3.8,(332 Reviews),Private,"Salem,Tamil Nadu + 20 more",31 years old,1k-5k Employees (India)
1335,Financial Softwa...,4.1,(332 Reviews),Private,Chennai + 19 more,31 years old,1k-5k Employees (India)
1336,Wapcos,3.9,(332 Reviews),Private,"Gurgaon/Gurugram,Haryana + 72 more",53 years old,1k-5k Employees (Global)
1337,Sun Life Financi...,4.3,(332 Reviews),Private,"Toronto,Ontario + 4 more",157 years old,1k-5k Employees (India)
1338,V-Trans,4.1,(332 Reviews),Public,"Mumbai,Maharashtra + 56 more",64 years old,1k-5k Employees (India)
1339,Quality Austria ...,3.4,(332 Reviews),Private,"Delhi/NCR,Delhi + 30 more",12 years old,201-500 Employees (India)
1340,Incedo,4.0,(332 Reviews),Private,"Iselin,New Jersey + 8 more",11 years old,1k-5k Employees (India)
1341,JK Paper,4.1,(331 Reviews),Public,"Delhi/NCR,Delhi + 21 more",60 years old,1k-5k Employees (India)
1342,Kunal Structure,3.9,(331 Reviews),Private,"Ahmedabad,Gujarat + 23 more",16 years old,201-500 Employees (India)
1343,Goodyear,4.0,(333 Reviews),Public,Akron + 41 more,124 years old,501-1k Employees (India)
1344,Agilent Technolo...,4.3,(331 Reviews),Private,"Santa Clara,California + 13 more",23 years old,5k-10k Employees (India)
1345,Fiem Industries,3.9,(330 Reviews),Public,New Delhi + 20 more,33 years old,1k-5k Employees (India)
1346,Ind-Swift Labora...,4.0,(330 Reviews),Public,"Chandigarh,Chandigarh + 22 more",27 years old,1k-5k Employees (India)
1347,Ramco Systems,3.7,(330 Reviews),Public,Chennai + 12 more,25 years old,1k-5k Employees (India)
1348,Sunbeam Auto,3.9,(329 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",36 years old,501-1k Employees (India)
1349,Scientific Publi...,3.8,(329 Reviews),Private,Chennai + 2 more,27 years old,1k-5k Employees (India)
1350,Echobooom Manage...,4.3,(332 Reviews),Private,"Mumbai,Maharashtra + 15 more",2 years old,11-50 Employees (India)
1351,CarDekho,3.9,(328 Reviews),Private,"Jaipur,Rajasthan + 40 more",15 years old,1k-5k Employees (India)
1352,Rane (Madras),4.1,(328 Reviews),Public,"Vallancherry,Tamil Nadu + 18 more",25 years old,1k-5k Employees (India)
1353,Wuerth,4.1,(327 Reviews),Private,"Mumbai,Maharashtra + 43 more",28 years old,501-1k Employees (India)
