,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
3504,Mahindra Integra...,3.6,(134 Reviews),Private,"Mumbai,Maharashtra + 20 more",20 years old,1k-5k Employees (India)
3505,Vacmet India,4.1,(134 Reviews),Public,"Agra,Uttar Pradesh + 11 more",29 years old,501-1k Employees (India)
3506,Vipul Motors,3.9,(134 Reviews),Private,"Faridabad,Haryana + 8 more",35 years old,201-500 Employees (India)
3507,Kaleesuwari Refi...,3.8,(134 Reviews),Sole Proprietorship,"Chennai,Tamil Nadu + 29 more",29 years old,1k-5k Employees (India)
3508,Anchor Health an...,3.7,(134 Reviews),Private,"Mumbai,Maharashtra + 28 more",30 years old,501-1k Employees (India)
3509,Resonance Eduven...,3.4,(134 Reviews),"Kota,Rajasthan + 26 more",21 years old,51-200 Employees (India),
3510,Amara Raja Power...,4.1,(134 Reviews),"Tirupati,Andhra Pradesh + 23 more",37 years old,10k-50k Employees (India),
3511,Wintax Solution,4.8,(134 Reviews),Partnership,"Surat,Gujarat + 43 more",4 years old,11-50 Employees (India)
3512,Danone Foods Bev...,3.8,(367 Reviews),Private,Paris + 27 more,103 years old,501-1k Employees (India)
3513,Perkins,4.5,(133 Reviews),Private,"Chennai,Tamil Nadu + 6 more",90 years old,51-200 Employees (India)
3514,Indian Steel Cor...,4.4,(133 Reviews),Public,"Indore,Madhya Pradesh + 7 more",18 years old,501-1k Employees (Global)
3515,Med Manor Organi...,3.3,(133 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 23 more",24 years old,51-200 Employees (India)
3516,Imarticus Learni...,4.0,(133 Reviews),Private,"Mumbai,Maharashtra + 9 more",10 years old,201-500 Employees (India)
3517,Reliable Autotec...,4.4,(133 Reviews),"Nasik/Nashik,Maharashtra + 3 more",37 years old,501-1k Employees (India),
3518,Encube Ethicals,3.9,(133 Reviews),Mumbai + 6 more,22 years old,201-500 Employees (India),
3519,Monster Com Indi...,3.6,(133 Reviews),Private,"Hyderabad,Telangana + 11 more",23 years old,501-1k Employees (India)
3520,Magma Housing Fi...,4.4,(133 Reviews),"Kolkata,West Bengal + 54 more",33 years old,5k-10k Employees (India),
3521,ArcelorMittal,4.1,(133 Reviews),Private,Boulevard D’Avranches + 19 more,16 years old,501-1k Employees (India)
3522,Oil India,4.3,(133 Reviews),Private,"Noida,Uttar Pradesh + 23 more",63 years old,5k-10k Employees (India)
3523,Oxigen Services,3.9,(133 Reviews),Private,"Gurgaon,Haryana + 27 more",18 years old,51-200 Employees (India)
3524,N Ranga Rao And ...,4.3,(133 Reviews),Private,"Mysore/Mysuru,Karnataka + 35 more",74 years old,501-1k Employees (India)
3525,Mitsubishi Eleva...,4.0,(133 Reviews),Private,Tokyo + 16 more,91 years old,1k-5k Employees (India)
3526,Paul Merchants,3.9,(133 Reviews),Public,"Chandigarh,Chandigarh + 45 more",38 years old,1k-5k Employees (India)
3527,ecare India,3.6,(133 Reviews),Private,"Chennai,Tamil Nadu + 3 more",22 years old,1k-5k Employees (India)
3528,Suresh Surana & ...,3.5,(133 Reviews),"Mumbai,Maharashtra + 13 more",38 years old,201-500 Employees (Global),
3529,Konica Minolta B...,3.9,(133 Reviews),Private,"Gurgaon/Gurugram,Haryana + 29 more",12 years old,501-1k Employees (India)
3530,Sical Logistics,3.9,(133 Reviews),Public,"Chennai,Tamil Nadu + 17 more",67 years old,201-500 Employees (India)
3531,Incred Finance,4.2,(133 Reviews),"Mumbai,Maharashtra + 18 more",6 years old,501-1k Employees (India),
3532,Ciron Drugs & Ph...,3.4,(133 Reviews),Private,"Mumbai,Maharashtra + 9 more",32 years old,51-200 Employees (India)
3533,Maharishi Vidya ...,4.2,(133 Reviews),Private,Bhopal + 50 more,39 years old,5k-10k Employees (India)
3534,Mahindra Electri...,3.7,(133 Reviews),Private,Bengaluru + 8 more,28 years old,201-500 Employees (India)
3535,Sudhir Power,4.0,(133 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",49 years old,1k-5k Employees (India)
3536,HCL Infotech,3.9,(19.9k Reviews),Private,Noida + 24 more,31 years old,1 Lakh+ Employees (Global)
3537,Nuance Communica...,4.3,(214 Reviews),"Burlington,Massachusetts + 10 more",30 years old,501-1k Employees (India),
3538,Saama Technologi...,3.9,(132 Reviews),Private,"Campbell,California",25 years old,201-500 Employees (India)
3539,R-Logic Technolo...,4.1,(132 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",26 years old,1k-5k Employees (India)
3540,APM Terminals,4.6,(132 Reviews),Private,The Hague + 14 more,21 years old,501-1k Employees (India)
3541,Ascent Consultin...,4.0,(132 Reviews),Private,Bengaluru + 8 more,20 years old,201-500 Employees (India)
3542,BajajSons,3.8,(132 Reviews),Public,"Ludhiana,Punjab + 8 more",37 years old,1k-5k Employees (India)
3543,B4S Solutions,4.2,(132 Reviews),Private,"Ghaziabad,Uttar Pradesh + 32 more",33 years old,11-50 Employees (India)
3544,Narayana Junior ...,3.8,(132 Reviews),Hyderabad + 22 more,43 years old,10k-50k Employees (India),
3545,Hindustan Pencil...,4.2,(132 Reviews),Private,"Mumbai,Maharashtra + 34 more",64 years old,201-500 Employees (India)
3546,Gaja Engineering,4.1,(132 Reviews),Private,Hyderabad + 12 more,11 years old,201-500 Employees (India)
3547,Aditya Infotech,3.5,(132 Reviews),Private,"Noida,Uttar Pradesh + 29 more",28 years old,501-1k Employees (India)
3548,Damco Solutions,3.4,(132 Reviews),Private,"Princeton,New Jersey + 14 more",26 years old,501-1k Employees (India)
3549,Flipkart Health+,4.0,(132 Reviews),Private,"Kolkata,West Bengal + 16 more",9 years old,501-1k Employees (India)
3550,Groz Engineering...,4.3,(132 Reviews),Private,"Gurgaon/Gurugram,Haryana + 15 more",46 years old,1k-5k Employees (India)
3551,Sraco,4.0,(132 Reviews),Private,Dammam + 12 more,40 years old,10k-50k Employees (Global)
3552,GSPANN Technolog...,4.1,(132 Reviews),Private,"Milpitas,California + 4 more",18 years old,201-500 Employees (India)
3553,Millennium Engin...,4.1,(132 Reviews),Private,Pune + 9 more,23 years old,11-50 Employees (India)
3554,Sterlite Industr...,4.3,(132 Reviews),Public,"Mumbai,Maharashtra + 11 more",47 years old,1k-5k Employees (India)
3555,Saurav Chemicals,3.8,(132 Reviews),Private,"Panchkula,Haryana + 6 more",31 years old,201-500 Employees (India)
3556,GGK Technologies,3.6,(132 Reviews),Private,Duluth + 2 more,18 years old,1k-5k Employees (India)
3557,Star Engineers I...,3.4,(132 Reviews),Private,"Pune,Maharashtra + 6 more",34 years old,1k-5k Employees (India)
3558,Takata,4.2,(132 Reviews),Private,"Delhi/NCR,Delhi + 9 more",61 years old,1k-5k Employees (India)
3559,Arya Omnitalk Wi...,3.9,(132 Reviews),Private,Pune + 22 more,20 years old,201-500 Employees (India)
3560,Aquity Solutions,3.5,(132 Reviews),Cary + 9 more,23 years old,201-500 Employees (India),
3561,ARCADIS,4.2,(149 Reviews),Public,Amsterdam + 20 more,13 years old,10k-50k Employees (India)
3562,Vindhya e-Info M...,3.9,(131 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",16 years old,1k-5k Employees (India)
3563,Timex Group Indi...,4.1,(131 Reviews),Public,"Noida,Uttar Pradesh + 20 more",168 years old,201-500 Employees (India)
3564,AppInventiv Tech...,4.2,(131 Reviews),Private,"Noida,Uttar Pradesh + 2 more",8 years old,501-1k Employees (India)
3565,Carrefour,4.0,(131 Reviews),Private,Massy + 21 more,63 years old,201-500 Employees (India)
3566,Macmillan Publis...,4.0,(131 Reviews),Private,"Chennai,Tamil Nadu + 24 more",130 years old,201-500 Employees (India)
3567,Ajnara India,3.8,(131 Reviews),Public,"Noida,Uttar Pradesh + 3 more",31 years old,201-500 Employees (India)
3568,APC By Schneider...,4.1,(131 Reviews),Private,"West Kingston,RI + 13 more",41 years old,10k-50k Employees (India)
3569,Carrefour,4.0,(131 Reviews),Private,Massy + 21 more,63 years old,201-500 Employees (India)
3570,Ajnara India,3.8,(131 Reviews),Public,"Noida,Uttar Pradesh + 3 more",31 years old,201-500 Employees (India)
3571,MagicPin,3.1,(131 Reviews),Private,"Gurgaon,Haryana + 10 more",7 years old,201-500 Employees (India)
3572,APC By Schneider...,4.1,(131 Reviews),Private,"West Kingston,RI + 13 more",41 years old,10k-50k Employees (India)
3573,GE Transportatio...,4.1,(131 Reviews),Public,"Pittsburgh,Pennsylvania + 10 more",115 years old,1k-5k Employees (India)
3574,Jagatjit Industr...,4.0,(131 Reviews),Public,"Kapurthala ,Punjab + 20 more",78 years old,1k-5k Employees (India)
3575,Biz 2 Credit Inf...,4.2,(131 Reviews),Private,"New York,New York + 2 more",15 years old,201-500 Employees (India)
3576,Bellsonica Auto ...,3.8,(131 Reviews),"Gurgaon/Gurugram,Haryana + 5 more",66 years old,201-500 Employees (India),
3577,CRPF,4.5,(131 Reviews),New Delhi + 35 more,83 years old,1 Lakh+ Employees (Global),
3578,PMT Machines,3.6,(131 Reviews),Private,Pune + 6 more,61 years old,51-200 Employees (India)
3579,Trigo Quality Pr...,2.8,(131 Reviews),"Tel Aviv,Tel Aviv + 17 more",25 years old,11-50 Employees (India),
3580,Sun Vacuum Forme...,3.9,(131 Reviews),"Delhi/NCR,Delhi + 6 more",36 years old,51-200 Employees (India),
3581,Porteck India In...,4.2,(131 Reviews),Private,"Jericho,New York + 3 more",20 years old,201-500 Employees (India)
3582,Kronos Solutions,4.3,(131 Reviews),Private,"Lowell,Massachusetts + 1 more",45 years old,1k-5k Employees (India)
3583,Wow Momo Foods,3.5,(131 Reviews),Private,"Kolkata,West Bengal + 15 more",14 years old,501-1k Employees (India)
3584,Raksha TPA,3.7,(131 Reviews),"Delhi/NCR,Delhi + 17 more",20 years old,201-500 Employees (India),
3585,Macmillan Publis...,4.0,(131 Reviews),Private,"Chennai,Tamil Nadu + 24 more",130 years old,201-500 Employees (India)
3586,Vsun Mobile,4.1,(131 Reviews),Private,Dubai + 8 more,11 years old,51-200 Employees (India)
3587,Debtcare Enterpr...,4.3,(131 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",14 years old,201-500 Employees (India)
3588,BOB Financial So...,3.9,(131 Reviews),"Mumbai,Maharashtra + 41 more",28 years old,201-500 Employees (India),
3589,Cipla Health,4.1,(4.4k Reviews),Public,Mumbai + 35 more,9 years old,501-1k Employees (India)
3590,The Pride Hotel,4.1,(165 Reviews),Private,"Mumbai,Maharashtra + 15 more",47 years old,501-1k Employees (India)
3591,Indus Motors,4.1,(130 Reviews),Private,"Kochi/Cochin,Kerala + 20 more",32 years old,5k-10k Employees (Global)
3592,Ceragon Networks,4.0,(130 Reviews),Private,"Tel Aviv,Tel Aviv + 25 more",26 years old,501-1k Employees (India)
3593,AGI Glaspac,3.7,(130 Reviews),Private,Hyderabad + 2 more,50 years old,1k-5k Employees (India)
3594,Sanmarg Projects,4.1,(130 Reviews),Private,"Noida,Uttar Pradesh + 29 more",15 years old,201-500 Employees (India)
3595,Zodiac Clothing ...,3.8,(130 Reviews),Public,"Mumbai,Maharashtra + 21 more",38 years old,1k-5k Employees (India)
3596,Odessa,4.1,(130 Reviews),Private,Philadelphia + 1 more,24 years old,501-1k Employees (India)
3597,Balaji Wafers,4.5,(130 Reviews),"Rajkot,Gujrat + 18 more",38 years old,1k-5k Employees (India),
3598,Moolchand Medcit...,3.0,(130 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",16 years old,51-200 Employees (India)
3599,Massive Restaura...,4.0,(130 Reviews),"Gurgaon,Haryana + 12 more",10 years old,501-1k Employees (India),
3600,Taj Mahal Hotel,4.7,(130 Reviews),Private,Mumbai + 6 more,119 years old,10k-50k Employees (India)
3601,Enzen Global Sol...,4.2,(130 Reviews),Private,Bangalore + 10 more,16 years old,201-500 Employees (India)
3602,Balaji Wafers,4.5,(130 Reviews),"Rajkot,Gujrat + 18 more",38 years old,1k-5k Employees (India),
3603,AGI Glaspac,3.7,(130 Reviews),Private,Hyderabad + 2 more,50 years old,1k-5k Employees (India)
3604,Pinkerton,3.8,(130 Reviews),Private,"Ann Arbor,Detroit + 10 more",172 years old,201-500 Employees (India)
3605,Fresenius Medica...,3.8,(130 Reviews),Public,Bad Homburg + 25 more,26 years old,201-500 Employees (India)
3606,ING Vysya Bank,4.7,(130 Reviews),Public,"Mumbai,Maharashtra + 42 more",20 years old,5k-10k Employees (India)
3607,Moolchand Medcit...,3.0,(130 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",16 years old,51-200 Employees (India)
3608,IMC,4.2,(130 Reviews),Private,"Chennai,Tamil Nadu + 22 more",87 years old,501-1k Employees (India)
3609,Indus Motors,4.1,(130 Reviews),Private,"Kochi/Cochin,Kerala + 20 more",32 years old,5k-10k Employees (Global)
3610,Geo Chem Laborat...,3.6,(130 Reviews),Private,"Mumbai,Maharashtra + 15 more",58 years old,1k-5k Employees (India)
3611,In Time Tec Visi...,4.4,(130 Reviews),"Meridian,ID + 2 more",13 years old,201-500 Employees (India),
3612,Sakata Inx,4.1,(130 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",102 years old,501-1k Employees (India)
3613,CR Asia,3.8,(130 Reviews),Bangkok + 5 more,31 years old,201-500 Employees (India),
3614,Mitsubishi Heavy...,4.2,(197 Reviews),Private,Tokyo + 19 more,138 years old,51-200 Employees (India)
3615,Norwegian Cruise...,4.6,(129 Reviews),Miami + 9 more,56 years old,501-1k Employees (India),
3616,Pierian Services,4.0,(129 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",20 years old,501-1k Employees (India)
3617,Income Tax Depar...,4.4,(129 Reviews),Private,"Delhi/NCR,Delhi + 55 more",162 years old,1k-5k Employees (Global)
3618,Nippon Koei Indi...,4.7,(129 Reviews),Private,"Delhi/NCR,Delhi + 25 more",14 years old,201-500 Employees (India)
3619,Ujaas Energy,3.7,(129 Reviews),Public,"Indore,Madhya Pradesh + 13 more",43 years old,201-500 Employees (India)
3620,Vcs Quality Serv...,4.5,(129 Reviews),"Mumbai,Maharashtra + 24 more",20 years old,51-200 Employees (India),
3621,TMF Group,4.0,(129 Reviews),Private,Amsterdam + 7 more,34 years old,501-1k Employees (India)
3622,IL&FS Technologi...,3.8,(129 Reviews),Public,Gurgaon + 32 more,89 years old,201-500 Employees (India)
3623,Nuclear Power Co...,4.2,(129 Reviews),Mumbai + 16 more,35 years old,5k-10k Employees (Global),
3624,Della Adventure ...,3.4,(129 Reviews),Private,Lonavla + 10 more,31 years old,501-1k Employees (India)
3625,Unique Identific...,4.3,(129 Reviews),Public,New Delhi + 45 more,13 years old,1k-5k Employees (Global)
3626,Insecticides Ind...,4.5,(129 Reviews),Public,"Delhi/NCR,Delhi + 23 more",20 years old,1k-5k Employees (India)
3627,IDMC,3.9,(129 Reviews),Private,Vitthal Udyognagar + 7 more,44 years old,501-1k Employees (India)
3628,Mindteck,3.6,(129 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",31 years old,501-1k Employees (India)
3629,Cliantha Researc...,4.3,(129 Reviews),Public,"Ahmedabad,Gujrat + 5 more",18 years old,501-1k Employees (India)
3630,M & M Financial ...,4.2,(129 Reviews),Public,Mumbai + 38 more,31 years old,10k-50k Employees (India)
3631,IDMC,3.9,(129 Reviews),Private,Vitthal Udyognagar + 7 more,44 years old,501-1k Employees (India)
3632,Property Solutio...,3.4,(129 Reviews),Private,"Mumbai,Maharashtra + 13 more",22 years old,501-1k Employees (India)
3633,Nippon Koei Indi...,4.7,(129 Reviews),Private,"Delhi/NCR,Delhi + 25 more",14 years old,201-500 Employees (India)
3634,Festo,3.8,(129 Reviews),Private,"Ludhiana,Punjab + 11 more",36 years old,201-500 Employees (India)
3635,Unique Identific...,4.3,(129 Reviews),Public,New Delhi + 45 more,13 years old,1k-5k Employees (Global)
3636,Ujaas Energy,3.7,(129 Reviews),Public,"Indore,Madhya Pradesh + 13 more",43 years old,201-500 Employees (India)
3637,Forbes & Company,4.1,(129 Reviews),Private,Mumbai + 15 more,257 years old,501-1k Employees (India)
3638,IIT Madras,4.4,(129 Reviews),Private,Chennai + 2 more,63 years old,1k-5k Employees (India)
3639,Global Consumer ...,3.7,(129 Reviews),Private,"Bangalore,Karnataka + 34 more",9 years old,201-500 Employees (India)
3640,Mindteck,3.6,(129 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",31 years old,501-1k Employees (India)
3641,Norwegian Cruise...,4.6,(129 Reviews),Miami + 9 more,56 years old,501-1k Employees (India),
3642,Dataflow Group,3.4,(129 Reviews),Private,"Noida,Uttar Pradesh + 4 more",4 years old,51-200 Employees (India)
3643,Citykart Retail,4.0,(129 Reviews),Private,"Delhi,NCT + 30 more",6 years old,201-500 Employees (India)
3644,Writer Informati...,3.4,(129 Reviews),Private,Mumbai + 19 more,35 years old,5k-10k Employees (Global)
3645,NOON.COM,4.1,(129 Reviews),"Burj Khalifa,Dubai + 11 more",6 years old,501-1k Employees (India),
3646,Welspun Floorin...,3.8,(129 Reviews),Public,Hyderabad + 9 more,6 years old,51-200 Employees (India)
3647,Shyplite,4.7,(129 Reviews),Private,"Delhi,NCT + 2 more",7 years old,51-200 Employees (India)
3648,BharatPe,3.8,(129 Reviews),"Bangalore,Karnataka + 38 more",4 years old,201-500 Employees (India),
3649,Petpooja,4.6,(129 Reviews),Private,Ahmedabad + 17 more,11 years old,501-1k Employees (India)
3650,Capgemini Engine...,3.7,(129 Reviews),Gurgaon/Gurugram + 9 more,,,
3651,State Street Glo...,3.8,(129 Reviews),Private,"Boston,Massachusetts + 3 more",44 years old,1k-5k Employees (Global)
3652,Synopsys,4.2,(130 Reviews),Public,"Mountain View,California + 7 more",36 years old,1k-5k Employees (India)
3653,IKF Finance,3.8,(128 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 36 more",31 years old,201-500 Employees (India)
3654,Chandan Steel,3.7,(128 Reviews),Public,"Mumbai,Maharashtra + 10 more",53 years old,11-50 Employees (India)
3655,ITC Group,4.0,(128 Reviews),Kolkata + 33 more,,,
3656,Vidya Mandir Cla...,3.4,(128 Reviews),Private,New Delhi + 34 more,33 years old,501-1k Employees (Global)
3657,Rajesh Motors,3.6,(128 Reviews),Private,Jaipur + 19 more,42 years old,51-200 Employees (India)
3658,DQ Entertainment,3.1,(128 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",15 years old,51-200 Employees (India)
3659,Azure Hospitalit...,4.5,(128 Reviews),Private,"Delhi,NCT + 9 more",13 years old,201-500 Employees (India)
3660,DQ Entertainment,3.1,(128 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",15 years old,51-200 Employees (India)
3661,Fedders Lloyd,3.9,(128 Reviews),Public,"Delhi/NCR,New Delhi + 26 more",65 years old,201-500 Employees (India)
3662,New Allenberry W...,3.8,(128 Reviews),Private,"Faridabad,Haryana + 7 more",51 years old,201-500 Employees (India)
3663,Privi Organics,4.3,(128 Reviews),Public,"Mumbai,Maharashtra + 9 more",40 years old,201-500 Employees (India)
3664,Lamprell,4.5,(128 Reviews),Dubai + 5 more,46 years old,5k-10k Employees (Global),
3665,Brand Factory,4.3,(128 Reviews),"Mumbai,Maharashtra + 33 more",16 years old,501-1k Employees (Global),
3666,Rajesh Motors,3.6,(128 Reviews),Private,Jaipur + 19 more,42 years old,51-200 Employees (India)
3667,IKF Finance,3.8,(128 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 36 more",31 years old,201-500 Employees (India)
3668,Franchise India ...,2.4,(128 Reviews),Public,"Faridabad,Haryana + 11 more",23 years old,501-1k Employees (India)
3669,Vidya Mandir Cla...,3.4,(128 Reviews),Private,New Delhi + 34 more,33 years old,501-1k Employees (Global)
3670,Gujarat Alkalies...,4.5,(128 Reviews),"Bharuch,Gujarat + 3 more",49 years old,1k-5k Employees (India),
3671,Texila Education...,4.3,(128 Reviews),Private,Coimbatore + 1 more,7 years old,201-500 Employees (India)
3672,Abu Dhabi Nation...,4.2,(128 Reviews),Private,Abu Dhabi + 12 more,46 years old,51-200 Employees (India)
3673,Karam Industries,4.2,(128 Reviews),Private,"Noida,Uttar Pradesh + 16 more",24 years old,11-50 Employees (India)
3674,Walsons Facility...,4.1,(128 Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",26 years old,5k-10k Employees (India)
3675,ITC Group,4.0,(128 Reviews),Kolkata + 33 more,,,
3676,Ford Business Se...,4.6,(128 Reviews),Chennai + 8 more,24 years old,201-500 Employees (Global),
3677,Chandan Steel,3.7,(128 Reviews),Public,"Mumbai,Maharashtra + 10 more",53 years old,11-50 Employees (India)
3678,UST BlueConch,3.8,(128 Reviews),Private,"Aliso Viejo,CA + 1 more",26 years old,201-500 Employees (India)
3679,Allergan,4.2,(841 Reviews),Private,Dublin + 23 more,9 years old,1k-5k Employees (India)
3680,Escorts Construc...,4.0,(127 Reviews),Public,"Faridabad,Haryana + 23 more",52 years old,1k-5k Employees (India)
3681,A2Z Infraservice...,4.2,(127 Reviews),Public,"Gurgaon/Gurugram,Haryana + 17 more",20 years old,201-500 Employees (India)
3682,Yashi Consulting...,3.3,(127 Reviews),Private,Jaipur + 7 more,17 years old,11-50 Employees (India)
3683,SGT University,3.4,(127 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",9 years old,501-1k Employees (India)
3684,Dayal Fertilizer...,4.2,(127 Reviews),Partnership,Meerut + 26 more,43 years old,201-500 Employees (India)
3685,Eptisa,3.0,(127 Reviews),Private,Madrid + 20 more,66 years old,51-200 Employees (India)
3686,Joannou & Parask...,4.3,(127 Reviews),Public,Guernsey + 11 more,61 years old,10k-50k Employees (Global)
3687,Education Cultur...,4.8,(127 Reviews),Private,"Ludhiana,Punjab + 5 more",7 years old,51-200 Employees (India)
3688,United Bank of I...,4.0,(127 Reviews),Public,"Kolkata,West Bengal + 27 more",72 years old,501-1k Employees (India)
3689,Wrigley,4.0,(127 Reviews),Private,McLean + 29 more,131 years old,1k-5k Employees (India)
3690,Tokai Rubber Aut...,4.0,(127 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",14 years old,51-200 Employees (Global)
3691,STYLAM Industrie...,3.4,(127 Reviews),Public,"Chandigarh,Chandigarh + 16 more",31 years old,201-500 Employees (India)
3692,Paradeep Phospha...,4.1,(127 Reviews),Public,"Bhubaneswar,Odisha + 23 more",41 years old,1k-5k Employees (India)
3693,Bharti Foundatio...,4.3,(127 Reviews),Gurugram + 21 more,22 years old,1k-5k Employees (India),
3694,Forever Living P...,4.5,(127 Reviews),Private,"Scottsdale,Arizona + 32 more",44 years old,11-50 Employees (India)
3695,Bhadra Internati...,3.3,(127 Reviews),Private,"New Delhi,Delhi + 6 more",22 years old,51-200 Employees (India)
3696,Gulf Spic Genera...,3.9,(127 Reviews),Private,"Fahaheel,Ahmadi + 6 more",25 years old,5k-10k Employees (Global)
3697,Dee Vee Projects,4.0,(127 Reviews),Private,Raipur + 17 more,33 years old,51-200 Employees (India)
3698,General Energy M...,3.9,(127 Reviews),Private,"Noida,Uttar Pradesh + 26 more",23 years old,201-500 Employees (India)
3699,Trelleborg,4.2,(127 Reviews),Private,"Trelleborg,Baden-Württemberg + 4 more",70 years old,51-200 Employees (India)
3700,Doordarshan,4.0,(127 Reviews),Private,New Delhi + 27 more,63 years old,201-500 Employees (Global)
3701,Syscom Corporati...,3.9,(127 Reviews),Private,"Noida,Uttar Pradesh + 5 more",26 years old,1k-5k Employees (Global)
3702,MSP Steel & Powe...,4.0,(127 Reviews),Public,"Kolkata,West Bengal + 8 more",92 years old,1k-5k Employees (India)
3703,Shri Ram Finance,3.5,(127 Reviews),Mumbai + 41 more,43 years old,51-200 Employees (India),
3704,Datamatics Busin...,3.8,(127 Reviews),Public,Mumbai + 3 more,40 years old,1k-5k Employees (India)
3705,SkillVertex,3.9,(127 Reviews),"Bangalore,Karnataka + 3 more",1 years old,,
3706,Carnival Group,4.1,(131 Reviews),Private,Mumbai + 33 more,15 years old,51-200 Employees (India)
3707,Aristocrat Techn...,4.4,(126 Reviews),Private,"North Ryde,NSW + 5 more",69 years old,201-500 Employees (India)
3708,Lucas Indian Ser...,4.2,(126 Reviews),Private,Chennai + 27 more,92 years old,201-500 Employees (India)
3709,Vectone Mobile,3.9,(126 Reviews),Private,London + 1 more,25 years old,51-200 Employees (India)
3710,CEVA Logistics,4.1,(126 Reviews),Private,Marseille + 24 more,16 years old,1k-5k Employees (India)
3711,Snowman Logistic...,4.2,(126 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 22 more",26 years old,201-500 Employees (India)
3712,Sukhbir Agro Ene...,3.7,(126 Reviews),Private,"Delhi/NCR,Delhi + 14 more",23 years old,501-1k Employees (India)
3713,Parsons Internat...,4.5,(126 Reviews),Private,"Centreville,Virginia + 9 more",78 years old,10k-50k Employees (Global)
3714,Amcor Flexibles ...,3.8,(126 Reviews),Private,"Melbourne,Victoria + 11 more",158 years old,201-500 Employees (India)
3715,Jayashree Polyme...,3.5,(126 Reviews),"Pune,Maharashtra + 9 more",38 years old,201-500 Employees (India),
3716,Orion Security S...,3.7,(126 Reviews),Private,"Delhi/NCR,Delhi + 28 more",17 years old,51-200 Employees (India)
3717,InKnowTech,3.4,(126 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",20 years old,51-200 Employees (India)
3718,TCPL Packaging,4.3,(126 Reviews),Public,"Bangalore,Karnataka + 19 more",35 years old,1k-5k Employees (India)
3719,Hyderabad Metro ...,3.9,(126 Reviews),Private,Hyderabad + 3 more,12 years old,5k-10k Employees (India)
3720,Pitney Bowes,4.3,(126 Reviews),Private,Stamford + 8 more,18 years old,501-1k Employees (India)
3721,CEVA Logistics,4.1,(126 Reviews),Private,Marseille + 24 more,16 years old,1k-5k Employees (India)
3722,Snowman Logistic...,4.2,(126 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 22 more",26 years old,201-500 Employees (India)
3723,Biostadt,4.6,(126 Reviews),Private,"Mumbai,Maharashtra + 34 more",19 years old,501-1k Employees (India)
3724,Vectone Mobile,3.9,(126 Reviews),Private,London + 1 more,25 years old,51-200 Employees (India)
3725,Emerson Electric...,4.0,(126 Reviews),"St Louis,Missouri + 19 more",132 years old,5k-10k Employees (India),
3726,Orion Security S...,3.7,(126 Reviews),Private,"Delhi/NCR,Delhi + 28 more",17 years old,51-200 Employees (India)
3727,Parsons Internat...,4.5,(126 Reviews),Private,"Centreville,Virginia + 9 more",78 years old,10k-50k Employees (Global)
3728,Sri Ramachandra ...,4.3,(126 Reviews),Private,"Chennai,Tamil Nadu + 4 more",37 years old,501-1k Employees (India)
3729,IBM Info Service...,4.2,(126 Reviews),Private,Chennai + 21 more,23 years old,1k-5k Employees (Global)
3730,Sukhbir Agro Ene...,3.7,(126 Reviews),Private,"Delhi/NCR,Delhi + 14 more",23 years old,501-1k Employees (India)
3731,Aagna Global Sol...,3.4,(126 Reviews),"Chennai,Tamil Nadu + 2 more",8 years old,201-500 Employees (Global),
3732,Hitachi Vantara,4.0,(126 Reviews),Private,Santa Clara + 8 more,4 years old,1k-5k Employees (India)
3733,Teletext Holiday...,3.8,(126 Reviews),London + 3 more,30 years old,51-200 Employees (India),
3734,AVIOM,4.1,(126 Reviews),Private,"Delhi,NCT + 52 more",6 years old,201-500 Employees (India)
3735,L&T Defence,4.2,(126 Reviews),Mumbai + 9 more,12 years old,1k-5k Employees (India),
3736,MINISO,3.7,(126 Reviews),Private,"Gurgaon/Gurugram,Haryana + 21 more",9 years old,1k-5k Employees (Global)
3737,Eminent Minds Te...,4.7,(126 Reviews),Bengaluru + 2 more,7 years old,11-50 Employees (India),
3738,Alivira Animal H...,3.5,(126 Reviews),"Mumbai,Maharashtra + 5 more",8 years old,201-500 Employees (India),
